Power,Power ratio,J_solved,V_cells,V_stack,I_stack,current_T,current_SOH,L_pem_m,h2_in_o2_percent,h2_gen_rate,V_tn,Degradation_cost
0.0,0.0,0.0,0.0,0.0,0.0,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,0.0
6750.0,0.05000000000000001,0.06497017475390623,1.664965152592162,79.91832732442379,8.44612271800781,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,36.10005722993771
13500.0,0.1,0.1266086752967301,1.7087782755732015,82.02135722751368,16.45912778857491,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,36.33461131904941
20250.0,0.1500000000000002,0.18636019258483685,1.7413548798598717,83.58503423327384,24.226825036028792,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,36.5619848370151
27000.0,0.20000000000000004,0.24466210365761873,1.768530153316344,84.88944735918452,31.806073475490436,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,36.78384214250952
33750.0,0.24999999999999997,0.3017411537139975,1.792481330299541,86.03910385437797,39.22634998281968,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,37.00104607309561
40500.0,0.3,0.35774112196042673,1.8142685358108148,87.08488971891911,46.506345854855475,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,37.21414375436056
47250.0,0.35000000000000436,0.4127645828993365,1.8344876712598521,88.0554082204729,53.65939577691374,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,37.42352551489402
54000.0,0.4000000000000001,0.46689029784080127,1.8535073857535833,88.968354516172,60.69573871930417,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,37.6294910665186
60750.0,0.45000000000000007,0.5201817663953866,1.8715721219026695,89.83546185132813,67.62362963140026,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,37.83228204543866
67500.0,0.5000000000000008,0.5726919575078429,1.8888527332182012,90.66493119447367,74.44995447601957,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,38.032100015327565
74250.0,0.5499999999999999,0.6244661647042136,1.9054736884222692,91.46273704426892,81.18060141154777,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,38.22911733245045
81000.0,0.5999999999999999,0.6755438477415353,1.9215287466781432,92.23337984055087,87.8207002063996,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,38.42348415372687
87750.0,0.6500000000000001,0.7259598843135309,1.9370905064950703,92.98034431176337,94.37478496075902,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,38.6153331998689
94500.0,0.7000000000000001,0.7757454574458007,1.9522164936800623,93.706391696643,100.84690946795409,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,38.80478313220186
101250.0,0.7499999999999999,0.8249287067852376,1.9669531930455433,94.41375326618608,107.24073188208088,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,38.99194103102761
108000.0,0.8,0.8735352206045945,1.981338805745376,95.10426267577805,113.55957867859729,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,39.17690426785834
114750.0,0.8499999999999998,0.9215884166445286,1.9954051879122265,95.77944901978688,119.80649416378873,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,39.35976195464165
121500.0,0.8999999999999994,0.969109843096493,2.0091792467961875,96.440603846217,125.98427960254408,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,39.54059608909604
128250.0,0.9499999999999976,1.0161194207603759,2.022683967599454,97.0888304447738,132.09552469884886,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,39.719482476197825
135000.0,0.9999999999999925,1.062635640914555,2.0359391828788502,97.7250807781848,138.14263331889214,298.15,1.0,8.481190120094124e-05,0.0,0.0,1.4812395,39.896491481139506
0.0,0.0,0.0,0.0,0.0,0.0,303.15,1.0,8.481190120094124e-05,0.0,0.0,1.48236968,0.0
