time,P_stack,T_stack,H2,Q_delivered,W_pump,degradation_cost,y_on,y_off,y_standby,y_cold_start,wind,price,window_H2_max,active_mode
70,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,368957.385,80.28,62257.62480097147,1104.0
71,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,371167.686,80.28,62257.62480097147,1104.0
72,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,361384.025,80.61000299999999,62257.62480097147,1104.0
73,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,353402.2809,80.61000299999999,62257.62480097147,1104.0
74,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,345500.329,80.61000299999999,62257.62480097147,1104.0
75,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,340423.789,80.61000299999999,62257.62480097147,1104.0
76,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,335321.938,80.61000299999999,62257.62480097147,1104.0
77,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,341398.261,80.61000299999999,62257.62480097147,1104.0
78,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,345107.582,86.46000000000001,62257.62480097147,1104.0
79,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,328759.9051,86.46000000000001,62257.62480097147,1104.0
80,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,315423.667,86.46000000000001,62257.62480097147,1104.0
81,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,326629.624,86.46000000000001,62257.62480097147,1104.0
82,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,337066.9898,86.46000000000001,62257.62480097147,1104.0
83,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,323040.744,86.46000000000001,62257.62480097147,1104.0
84,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,322660.6517,87.179997,62257.62480097147,1104.0
85,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,300195.9222,87.179997,62257.62480097147,1104.0
86,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,288659.6699,87.179997,62257.62480097147,1104.0
87,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,296112.662,87.179997,62257.62480097147,1104.0
88,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,306055.7362,87.179997,62257.62480097147,1104.0
89,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,326572.0429,87.179997,62257.62480097147,1104.0
90,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,323647.716,83.63999700000001,62257.62480097147,1104.0
91,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,295148.505,83.63999700000001,62257.62480097147,1104.0
92,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,257018.857,83.63999700000001,62257.62480097147,1104.0
93,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,244577.93,83.63999700000001,62257.62480097147,1104.0
94,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,237568.457,83.63999700000001,62257.62480097147,1104.0
95,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,236801.04572,83.63999700000001,62257.62480097147,1104.0
96,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,238826.576,96.33000299999999,62257.62480097147,1104.0
97,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,250166.483,96.33000299999999,62257.62480097147,1104.0
98,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,246536.374,96.33000299999999,62257.62480097147,1104.0
99,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,239582.838,96.33000299999999,62257.62480097147,1104.0
100,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,212836.6497,96.33000299999999,62257.62480097147,1104.0
