time,P_stack,T_stack,H2,Q_delivered,W_pump,degradation_cost,y_on,y_off,y_standby,y_cold_start,wind,price,window_H2_max,active_mode
16,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399785.924,159.02999400000002,22307.91515738238,1103.0
17,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399788.39,159.02999400000002,22307.91515738238,1103.0
18,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399706.062,118.56,22307.91515738238,1103.0
19,126900.0,350.649,441.3756047939902,22016.337108999658,356.4417425000313,296.69022302802944,1.0,0.0,0.0,0.0,399640.28,118.56,20604.730774080956,1103.0
20,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,398826.206,118.56,20604.730774080956,1103.0
21,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,398141.61,118.56,20604.730774080956,1103.0
22,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,396854.001,118.56,20604.730774080956,1103.0
23,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,397150.344,118.56,20604.730774080956,1103.0
24,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,396732.832,117.27000000000001,20604.730774080956,1103.0
25,126900.0,350.649,441.3756047939902,22016.337108999658,356.4417425000313,296.69022302802944,1.0,0.0,0.0,0.0,397127.212,117.27000000000001,19597.279719565588,1103.0
26,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,394178.699,117.27000000000001,19597.279719565588,1103.0
27,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,391782.715,117.27000000000001,19597.279719565588,1103.0
28,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,391635.197,117.27000000000001,19597.279719565588,1103.0
29,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,390112.679,117.27000000000001,19597.279719565588,1103.0
30,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,381722.976,105.35999699999999,19597.279719565588,1103.0
31,126900.0,350.649,441.3756047939902,22016.337108999658,356.4417425000313,296.69022302802944,1.0,0.0,0.0,0.0,359697.612,105.35999699999999,18941.21360595032,1103.0
32,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,338141.179,105.35999699999999,18941.21360595032,1103.0
33,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,293106.308,105.35999699999999,18941.21360595032,1103.0
