time,y_on,y_off,y_standby,y_cold_start,y_cool,P,wind,Spot Price,H2,sum x,Q cooling,T,Target T,Temp difference,Delta T eff,Q net,Q limit,P_grid,z_shutdown_begin,deg_on_cost,degradation_cost
82,1.0,-0.0,0.0,0.0,1.0,128250.0,337066.9898,86.46000000000001,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,202066.98979999998,-0.0,162.43074750369306,162.43074750369306
83,1.0,-0.0,0.0,0.0,1.0,128250.0,323040.744,86.46000000000001,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,188040.744,-0.0,162.430747503693,162.430747503693
84,1.0,-0.0,0.0,0.0,1.0,128250.0,322660.6517,87.179997,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,187660.6517,-0.0,162.43074750369306,162.43074750369306
85,1.0,-0.0,0.0,0.0,1.0,128250.0,300195.9222,87.179997,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,165195.92219999997,-0.0,162.43074750369306,162.43074750369306
86,1.0,-0.0,0.0,0.0,1.0,128250.0,288659.6699,87.179997,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,153659.66989999998,-0.0,162.43074750369306,162.43074750369306
87,1.0,-0.0,0.0,0.0,1.0,128250.0,296112.662,87.179997,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,161112.662,-0.0,162.43074750369306,162.43074750369306
88,1.0,-0.0,0.0,0.0,1.0,128250.0,306055.7362,87.179997,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,171055.73619999998,-0.0,162.43074750369306,162.43074750369306
89,1.0,-0.0,0.0,0.0,1.0,128250.0,326572.0429,87.179997,431.5233179281724,1.0,2856.2425000799203,325.649,298.15,27.499000000000024,27.499000000000024,2550.9471093071656,115178.92848000006,191572.0429,-0.0,162.43074750369306,162.43074750369306
90,1.0,-0.0,-0.0,0.0,1.0,128250.0,323647.716,83.63999700000001,426.81197613250845,1.0,2675.2384138256543,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,188647.71600000001,-0.0,132.8331860705248,132.8331860705248
91,1.0,-0.0,0.0,0.0,1.0,128250.0,295148.505,83.63999700000001,426.81197613250845,1.0,2675.2384138256557,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,160148.505,-0.0,132.8331860705248,132.8331860705248
92,1.0,-0.0,0.0,0.0,1.0,128250.0,257018.857,83.63999700000001,426.81197613250845,1.0,2675.2384138256557,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,122018.85699999999,-0.0,132.8331860705248,132.8331860705248
93,1.0,-0.0,-0.0,0.0,1.0,128250.0,244577.93,83.63999700000001,426.81197613250845,1.0,2675.2384138256557,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,109577.93,-0.0,132.8331860705248,132.8331860705248
